id,en,cn,class
243,"The four banks are of no help. Last year and the year before, I only had two cards: one from ICBC and one from China Construction Bank. I had no overdue payments, no small loans, and no debts, not even temporary ones. I even worked on maintaining my credit score for several months, but it hasn’t improved in four years. So this year, I just went ahead and applied for Monkey Bank and Hengfeng Bank, and I really don’t care if they approve me or not.",这四家银行一点用都没有。去年和前年我只有两张卡，分别是工商银行和建设银行。我没有逾期、没有小额贷款，也没有负债，甚至连临时的都没有。我还特意养了几个月的信用，但四年都没有提升。所以今年我直接去申请了猴子银行和恒丰银行，根本不在乎他们批准不批准。,2
255,"I feel confident that it's at least 38,000 or more.",我觉得至少有3.8万以上。,2
257,How is this credit limit calculated?,这个额度是怎么计算的？,2
261,"Yes, I completed the face-to-face interview, and after waiting for the card, I activated it on the mobile app just yesterday.",是的，我完成了面签，等收到了卡之后，昨天刚在手机APP上激活了。,2
272,"Just like you, I applied. I didn't get approved anyway, so you can see how much credit you can get.",我和你一样，我也申请了。反正我没申请下来，你可以看看你能申请到多少额度。,2
273,Salary distribution is really impressive; no wonder the limit is so high.,代发工资真的是厉害，难怪额度这么高。,2
274,"High debt leads to poor credit, and one inquiry affects the previous credit history! I'm just receiving a salary through some agency! I have a credit limit that I can't use.",负债高导致征信差，一次查询就影响之前的信用记录！我只是通过代发工资！我有额度却无法使用。,2
276,"If you can get approved through direct deposit, it means you have a good credit profile. Most banks would typically approve your credit card application.",如果你通过代发工资能申请到信用卡，那说明你的信用状况不错。一般情况下，大部分银行都会批准你的信用卡申请。,1
281,"Just looking but not using, right? That means there are too many credit cards or loans.",只是看看而不使用，对吧？那就是说信用卡或者信用贷款太多了。,2
282,"After reading your post, I have a high chance of falling for the trick???",看了你的帖子，我很有可能会上当受骗???,2
286,"The interest rate isn't favorable after two years; over time, it just doesn't make sense.",利率在两年后就不划算，时间久了就不合适了。,2
306,You can pay off the loan entirely at a very low interest rate.,可以用很低的利率完全偿还贷款。,2
308,The best online loans have no credit repayment required.,最好的网贷是不需要还信用卡的。,2
311,0.5% is a bit high; I'm at 0.35%. ,0.5%有点高，我这边是0.35%。,2
313,"Was there any mention of the rates over the phone? I feel confident about this; getting this card seems more like you're doing the bank a favor, and they're the ones needing you to apply.",电话里有提到费率吗？我觉得这个还蛮稳的，办这个卡就像是你在帮银行忙，反而是银行在求你办理呢。,1
320,"My Construction Bank account has been open for nearly 10 years, and I only have a little over 30,000?",我的建行账户已经开了快10年了，现在才3万多吗？,2
326,"Most are rejected, and I already have one for 26K.",大多数申请都被拒了，我已经有一张26K的了。,2
331,"The card was approved, but I was hit with an annual fee of 1800 yuan.",卡审核通过了，不过我被收了1800元的年费。,1
339,How much longer will it take to get the results?,还需要多久才能得到结果？,2
341,"The credit limit is 80,000, and there's an additional card with a credit limit of 50,000. Do I need to cancel any cards?",额度是8万，还有一张额度5万的普卡，我需要销掉卡吗？,2
348,Did it go through? Mine is the same. The in-person interview requires the credit card application. It's about the same progress.,通过了吗？我的也是一样。面签要求申请信用卡，进度差不多。,2
349,The credit card application was not approved.,信用卡申请没有通过。,2
350,Where did you check this? I've been unable to see any progress for half a month. I don't even know if I've been approved for the ICBC credit card.,你是在什么地方查的？我半个月都查不到进度，根本不知道我工行的信用卡审核有没有通过。,2
351,Are you talking about credit cards or mortgages?,你是在说信用卡还是房贷？,2
354,"I can't find it. I checked the bank app and there's no record. I called the bank and they said there’s no record either. It seems it hasn't been submitted yet, and it's been half a month. This Industrial Bank is really a trap.",我查不到。我在银行的应用里查不到记录，打电话给银行也说没有记录。估计还没提交上去，都半个月了，这个兴业银行真是个坑。,0
355,"There's no need to panic; they haven't even set up your file yet, and your loan hasn't been approved, right?",别着急，他们还没为你建立档案呢，你的贷款还没批吧？,2
359,Housing loans usually get approved for larger amounts; my friend applied for a mortgage of five million and only got five thousand approved.,房贷一般申请数额大的话都能过，我朋友申请了五百万的房贷，但只下了五万。,2
363,You can check it on WeChat official account; just follow the WeChat public account of China Merchants Bank.,你可以在微信官方账号上查看，关注招商银行的微信公众账号即可。,2
368,"The transaction for my coupon failed, and they won't pay out.",我的券没成功支付，他们不赔了。,2
373,"The branch has already contacted me, and there is only an installment option available; there's no possibility of any reduction.",分行已经联系我了，现在只有分期付款的选项，没有减免的可能。,2
383,"It seems that the Construction Bank app requires you to fill out a savings card application, right? My wife didn't have a savings card when she applied and it didn't work out, but mine was applied for by customer service in the past.",听说建行的APP申请好像要填一张储蓄卡吧？我老婆申请的时候没有储蓄卡，结果就没成功；而我的是以前客服帮我申请的。,2
392,I can't find it... Where did you search? I looked on the Palm Life app.,我找不到啊。。。你是在哪里搜的？我在掌上生活上查的。,2
399,"Which bank is known as ""Old Hand""? Is it China Construction Bank?",哪个银行被称为“老油子”？是建设银行吗？,2
402,"It's precisely because we've traveled many roads and experienced countless moments of prosperity and desolation that we can appreciate the changes of time as it passes. We find ourselves increasingly nostalgic, perhaps due to aging...",正是因为我们走过许多路，经历了无数的繁华与沧桑，才能在时光的流逝中感受到岁月的变迁。我们开始越来越怀旧，或许是因为变老了...,0
404,I thought Standard Chartered had issued the card.,我以为渣打银行已经发卡了。,2
412,"What's going on with the pre-approved quota? The Bank of Communications should speed things up, right?",预批名额怎么了？交通银行该加快点吧？,2
417,"Should I lend it out? This limit is still available to borrow, what are you talking about?",要借出去吗？这个额度还可以借，你在说什么呢？,2
421,Has the final limit been released?,最后的额度出来了吗？,2
437,"Hello, host. For the card application through the no-card channel, how long does it take to approve the card after submitting the materials? ",你好，楼主。无卡通道申请卡片，提交资料后大概多久能批下来呢？,2
438,"If you have a car under your name, you can get it done, and it also depends on your car loan.",如果你名下有车，就可以办理，这还得看你的车贷情况。,2
444,You should visit a branch and bring your vehicle registration and insurance policy; that should be sufficient to proceed.,你去网点时，带上你的车辆登记和保险单，这样就可以了。,2
457,"If you deposit 5 million yuan in China Construction Bank, they'll give you any card you want.",如果你在建行存500万毛爷爷，他们会给你想要的任何卡。,2
458,"With so many accounts, they don't increase my credit limit; having too many accounts is hard to manage, so I'm starting to close the ones that won’t raise my limit.",账户太多了，信用额度也不提高，管理起来很麻烦，所以我开始注销那些不会提升额度的账户了。,0
459,"No problem at all, credit cards are definitely fine.",没问题，信用卡肯定没问题。,2
460,"I can't reach the facial recognition step, so I'm unable to provide an answer.",我还没到刷脸那一步，所以无法给出回答。,2
468,I found out about a card issued by Bank of China with a limit of 2K when I checked my credit report after it was secretly opened by my company.,我查征信时发现有一张中行2K的卡，原来是公司偷偷办理的。,2
479,"The individual income tax really isn't a problem... The insurance company just attaches the policy to your name; both they and you have to pay taxes, everyone has to pay taxes. After six months of the initial credit limit increase at Bank of China, I was invited over the phone to apply for another card and got another increase a few months later...",个税真的真的不是问题……保险公司只是把保单挂在你名下，保险公司和你都要交税，大家都得交税。中行首次提额过了六个月之后，我接到电话邀请办卡，又再提了一次额度，几个月后又增加了。,2
480,"Insurance policy? Salary? 140,000? Bank of China still has 190,000 for another year. ",保险单？工资？14万？中行还有一年有19万。,2
488,"The credit card limit is 18,000, but it should be of no use and is just a waste of credit score.",信用卡额度是一万八，但实际没什么用，只是在浪费征信。,2
491,It seems that not many people on the forum get instant approval for the Shen Jian Bank car card.,在论坛上好像没有几个申建行车卡能秒审核通过的。,2
497,"Instalments cannot reduce liabilities: Industrial and Commercial Bank, China Construction Bank, Agricultural Bank of China, China Everbright Bank, China Merchants Bank, Huaxia Bank, Pudong Development Bank, Ningbo Bank",分期付款不能降低负债：工商银行、建设银行、农业银行、光大银行、招商银行、华夏银行、浦发银行和宁波银行。,2
504,"It's not just China Construction Bank; recently, when applying for a card, I noticed that there's one bank that allows you to fill in any mobile number instead of a fixed one. I can't remember which bank it was. ",不只是建行，这几天申卡时我注意到，有个银行允许填任意手机号，而不是固定手机号。我忘了是哪家银行了。,2
506,"I often fly with China Southern Airlines, so I would like to apply for a co-branded card.",我经常坐南方航空，想申请一张联名卡。,2
511,No car? You can always have a ride-hailing service like a small electric scooter take you. I even heard of a woman who hired a driver to walk her home with her.,没有车？你可以叫个代驾小电驴来接你呀，之前我听说有个女人请了代驾陪她走回家。,2
534,"I've only linked two cards for each transaction, which means I earn 4,000 points every day. ",我每笔交易只绑定了两张卡，这样每天就能获得4000积分。,2
536,"The service is available whenever you need it, but it's all about fate. The limit I have is sufficient for my needs.",这个服务随时都可以使用，但都是看缘分。我的额度对我来说已经足够。,2
539,My card has been inactive for two days after the call! How long does it typically take to receive a text?,我打完电话后两天我的卡没有动静！一般多久能收到短信？,2
543,Do any experienced folks know how to quickly increase the credit limit?,各位有经验的大佬知道怎么快速提升额度吗？,2
544,Agricultural Bank of China | Treasure White | 6k,农业银行丨宝藏白丨6千,2
547,"I tried it all day yesterday, and the only time it didn’t charge was from 11:55 to 1:00. But right after 1:00, the credit card started charging again.",我昨天试了一整天，只有11点55到1点之间没有扣款，1点一过信用卡又开始扣了。,2
548,"I can't pay off my credit card, I need to pay it off in one go for 120,000.",我还不起信用卡，要一次性还清12万。,2
550,How did you resolve it in the end? I also had a credit card linked to my mortgage that was overdue. I used to make manual repayments in the app after 8 PM. ,你最后是怎么解决的呢？我也有一张和房贷关联的信用卡逾期过。我之前都是在晚上八点以后在app里手动还款。,2
552,What should I do about this trouble? I can't even split the payment into installments.,这麻烦怎么办？我连分期付款都无法做到。,0
557,"Sure enough, just a quick pull-down works perfectly; the classic way is still the best.",果然，拉一下就好了；经典的方法还是最好用。,2
571,"Your card limit is 1.8, and the installment plan is exactly three times that at 5.4.",你的卡额度是1.8，而分期付款计划正好是它的三倍，5.4。,2
583,No chance?? Only those with a solid foundation have the opportunity.,没有机会？只有基础扎实的人才有机会。,2
596,The card is both free and expensive.,这张卡既免费又贵。,2
601,You can see it on Cloud Quick Payment.,在云闪付上是可以看到的。,2
607,"There isn't the best card, only the card that suits you. Things like gas, car washing, chauffeur services, and one-on-one accompaniment for hospital appointments are essential needs.",没有最好的一张卡，只有适合你的那张卡。加油、洗车、代驾、家庭医院挂号的陪同都是生活中的刚需。,2
608,The Global Payment Gold Card's design is beautiful.,全球支付金卡的设计非常好看。,2
614,"If there are substantial funds involved, it's better to manage them on a computer rather than using an ordinary mobile phone.",如果有很多资金，还是应该在电脑上操作，而不是用普通手机。,2
619,"It's too straightforward, but I still give Agricultural Bank a thumbs up.",太直接了，不过还是给农行点赞。,1
644,"I just made a mistake and ended up with a card. I applied for the Barbie 60th Anniversary card, but I've only been granted a temporary limit of 19,000 once in four years.",我就是搞错了，结果拿到了张卡。我申请了芭比60周年的卡，但在四年里只获得过一次19000的临时额度。,2
650,What is a cardless channel? , 无卡通道是什么？,2
660,The application was approved as soon as it was submitted; that's what Industrial Bank is all about.,提交后立马就通过，这就是兴业银行的风格。,2
669,Is that annual card similar to a Youku video membership where you can watch videos?,那个年卡是不是像优酷视频会员一样可以观看视频的？,2
672,"The transfers are instant. However, sometimes China Construction Bank deducts quickly. What's frustrating is that if you're overdue with CCB for a long time, it won't turn into a bad debt, and the late fees will continue to accumulate.",转账速度确实很快。但有时候建行会立即扣款，挺让人烦的是，如果你在建行逾期很久，也不会被标记为呆账，逾期费会一直增加。,0
687,No limit has been issued.,没有发布额度。,2
691,What qualifications are required??? Is there a pre-approval process?,需要什么资质？？？有没有预审批流程？,2
701,"I found it, but without my ID, I can't do anything. I'll deal with it when I get home tonight; it's not urgent anyway.",我找到了，但没有身份证，我没法办事。今晚回家再说吧，反正不急。,2
722,I activated my Guangfa credit card on my phone without going to the bank.,我在手机上激活了广发信用卡，没去银行。,2
731,"I applied for a loan with the Construction Bank and got approved with no issues at all. It feels like success from a setup, but it really depends on your credit history.",我在建行申请了贷款，竟然顺利批下来了，感觉就像成功碰瓷一样，但这其实还是看个人的信用记录。,2
739,"If the branch conducts independent reviews, it would be much better.",如果支行能够进行独立审核，那将会更好。,2
751,There’s no issue with the freeze on speculative coins; it hasn’t affected my withdrawal limit at all.,查封投机币没事，完全没影响我的提额。,2
753,How much should you transfer using a different bank account instead of a loan bank account to invest in the stock market? Is it okay to withdraw it?,你用的不是贷款银行账户，转多少资金去股市比较好？能不能顺利取出来？,2
757,Are you an employee? The requirements at China Construction Bank are quite high.,你是工作人员吗？建设银行的要求非常高。,2
758,"I am an employee, and all my housing loans are with China Construction Bank.",我是员工，我的房贷都是在建设银行办理的。,2
772,"Considering the waived annual fee and the practical benefits that can be utilized regularly, what type of card is recommended for a second card application? I'd appreciate insights from fellow card enthusiasts.",考虑到免年费以及常用的实用权益，申请第二张信用卡什么类型比较好呢？希望卡友们能给点建议。,2
784,"If I take it out directly, do I still need to transfer it? Will it trigger any risk controls?",直接取出来，还用转账吗？会触发风险控制吗？,2
785,I see that the principal and interest are paid back together at maturity? That seems reliable.,我看到到期是本息一起还，这样很靠谱啊。,1
790,"I made my payment the day after the billing date, but I still received a notification. When I informed the representative that I had already made the payment, she said I couldn't set up a payment plan after having paid and then hung up on me.",我在账单日的第二天就还款了，但还是收到了通知。我告诉客服我已经还过款了，她竟然说已经还款就不能分期了，然后就挂了电话。,2
795,Don't pay attention to him; he's just a salesperson. What can he do to you? He just wants to earn a high commission.,别理他，他不过是个业务员。能对你做什么呢？他就是想拿高提成而已。,2
798,"I have a situation similar to the original poster; I also have three cards from China Construction Bank. Two of them are activated, while the third one has been unactivated for four years due to my reluctance to close my very first credit card. I haven't had a credit limit increase in a long time.",我和楼主的情况差不多，我也有三张建设银行的卡。两张已经激活，第三张因为舍不得销掉我的第一张信用卡，已经换卡四年但一直没激活。我的信用额度好久没有提高了。,2
810,The activities at China Merchants Bank are still quite impressive the next day.,隔天招行的活动还是很给力的。,2
811,"I go every day, but I still can't get it. It's so tough for me.",我每天都去，但就是抢不到，真是太难了。,2
813,"It can take about a month, that's just how ICBC operates.",大概一个月吧，反正工行就是这样的。,2
814,The quick loan is probably not available.,快贷大概是不太可行吧。,2
815,Is it easy to apply for the SPDB (Shanghai Pudong Development Bank)? , 浦发的申请好办吗？,2
818,Is the pressure really that intense? Should I ask if my contacts have blown up?,压力真有那么大吗？我应该问问我的通讯录爆炸了吗？,0
819,Are you applying for a quick loan? I saw others say you can just try to apply. But you can't get a quick loan.,你在申请快贷吗？我看到其他人说试试就能申请。但你不能申请快速贷款。,2
823,"What's the limit, bro?",额度是多少，哥们！,2
833,"Just using the mobile app and ATM works. The most important thing is to find the manager at the dealership to help you apply. That way, it’s much faster.",只用手机app和ATM就行，最重要的是找经销店的经理帮你申请，这样快多了。,2
837,"Gradually getting back on track, step by step, and slowly canceling my credit cards.",一步步恢复，逐渐销卡。,2
866,I also have this code; my cash flow is insufficient or my debt is too high. ,我也是这个代码；我的现金流不足或者负债太高。,2
867,"Nine lines are completely empty, and a few lines have limits that have increased to several thousand but are still in use. I'm planning to settle three lines. They never mention anything, and I can't get anything approved.",九条全空，几条额度涨到几千但还在用，我打算结清三条。他们从来不提，我什么也办不下来。,2
876,"If you're interested in the event, you can try applying for it. It's free anyway.",如果你对这个活动感兴趣，可以试着申请一下。反正是免费的。,2
880,I'll pick up the card in a week. SPDB is quite efficient.,我一周后去领卡，浦发银行的速度真快。,2
896,"About a week, I suppose, it’s the ICBC card.",大概一周吧，就是工商银行的卡。,2
910,Is the 0.38 gone for good? It seems that this interest rate is definitely no longer available.,0.38的利率真的没了吗？这个利率肯定是没了。,2
916,"It's not; it's a savings card. Of course, if there are more bricks inside, I'll talk separately about it.",不是，这是一张储蓄卡。当然，如果里面有更多的存款，我再单独说。,2
933,"Has the issue been resolved, OP? I'm in the same boat as you, really worrying about it.",楼主，你的问题解决了吗？我和你一样，真的很操心。,0
946,Are there any other ways to activate Quick Loan besides these two options?,除了这两种方式之外，还有其他办法能开通快贷吗？,2
955,"Wow. I applied on June 23, and there's been absolutely no action since then. The efficiency of SPDB is just unbelievable.",哇。我6月23日申请的，现在完全没有动静。浦发的效率真是没话说。,0
983,"Thank you, the author, for the detailed tutorial. Now I have a clear plan and will tackle China Construction Bank again in six months.",谢谢楼主的详细教程，现在我有了明确的计划，半年后再去挑战建行。,2
988,Did the poster also use the counter service for the second application? How did you get a staff member to review it for you? Can you choose or request this yourself?,请问楼主在二申的时候也是通过柜台办理的吗？你是怎么让工作人员帮你审核的？这个是可以自己选择或要求的吗？,2
995,"After I just received the card, I checked the pre-approval status and wanted to go for the Barbie white, but I got rejected...",刚拿到卡后我查看了一下预审批状态，想申请曲线芭比白，结果被拒了。。。,2
1016,Is the limit currently thirty thousand?,目前的额度是三万吗？,2
1021,"I just applied for credit with four banks last month. Since I own a house and a car, my credit limit should be decent.",我上个月刚向四家银行申请了信用，毕竟我有房有车，额度应该不错吧。,2
1022,"Cards of the same tier, like the second and third cards, should all be approved instantly! Unless you weren't a Platinum cardholder before. I just applied for my third card last week and it was also approved in a flash.",同等级的二卡三卡应该都是秒批的！除非你之前不是白金卡持有者。我上个星期刚申请了第三卡，也是秒批的。,2
1034,"Although the Ping An 10,000 limit hasn't been mentioned for two years, getting benefits is just about taking advantage of the situation.",虽然平安1万额度两年没提了，但获取好处就是趁机而为。,2
1035,There are installments. I want to pay off the full amount.,有分期付款。我想全额还款。,2
1037,"Why is the Cut card like this! Our Agricultural Bank card is a level three card! This is outrageous! Cut two of them! If it doesn't affect anything now, can I cancel the savings card??",Cut卡为什么会这样！我们农行的卡是三级卡！太过分了！切两个！如果现在没有影响，可以取消存款卡吗？,0
1038,Deposit cards from the bank? Just keep them; it will be difficult to apply for them later.,银行的存款卡？留着吧，以后申请会很难。,2
1060,"The customer service might be mistaken. I received a message at four this afternoon saying it was approved, and then I was able to check it on the app. Just wait a bit longer; maybe you can check it tonight. The information might not have synced yet... Mine with Pudong Development Bank was just like that too.",客服可能说错了。我今天下午四点收到的短信说申请通过了，然后我就能在APP上查到了。你再等等，可能晚一点你就能查了，信息可能还没同步…我在浦发银行办的也是这样的。,2
1117,"SPD AE White 100,000",浦发AE白卡额度10万,2
1119,Xingye Taobao White 50K,兴业淘宝白50K,2
1122,The 90K from China Merchants Bank is a classic example of “picking a fight” (or creating trouble for others).,招行的90K是个碰瓷的经典案例。,2
1137,"Even with post-loan management, this does not affect your personal credit.",即使有贷后管理，这也不会影响你的个人信用。,2
1144,"I haven't had an increase in my credit limit for a while either. During the Chinese New Year, I maxed out my account with the Bank of Construction, swiping my card excessively. I didn't expect that when the billing date came, my limit was raised.",我也很久没提额了。过年的时候，我在建行刷了很高的额度，连续超额消费。没想到到账单日的时候，额度竟然提高了。,2
1145,"Your card can actually go over the limit, but mine can't.",你的卡居然可以超出限额，但我的卡不行。,2
1147,Isn't your account supposed to have an empty card? My account with you only has a limit of 1000 yuan.,你的账户难道没有空卡吗？我在你们这里的账户一直只有1000块的额度。,2
1155,I foolishly called to try and lift the risk control!,我傻乎乎地打电话想解除风控！,0
1166,"You can present freelancing in a more appealing way, like referring to it as self-managed business. It's essential to list the position as senior management or something similar. Being married and having a higher diploma are must-haves for a better income. If you're dealing with the big four banks, be prepared for a long-term effort if you don't succeed the first time. Utilities... ",可以把自由职业描述得更好听一些，比如叫自我经营之类的。职位方面肯定要写成高级管理。已婚和大专学历都是提高收入的必要条件。如果第一次去四大行不成功，就得做好打持久战的准备。水电…,2
1173,I received a 50k card from ICBC as well.,我也收到工商银行的50k卡。,2
1186,"Old hands have disappeared; it doesn't matter if you have good qualifications, you can get through without any effort.",老手都不见了，资质好也没关系，不用费劲儿照样能过。,2
1190,Apply for the card after the New Year,元旦过后再申请信用卡。,2
1191,"Approved for a 7K limit with postal online application. My documents were rejected, but a colleague who applied together got approved for 20K. I was asked to re-stamp my documents, and the branch was reluctant to issue my card; I almost considered filing a complaint. In the end, my limit reached 9K after a year, and it hasn’t increased even after two years... ",通过邮政网申下了7000的额度，结果我的资料被拒了。和同事一起申请的他批了20000。让我重新盖章，网点还不想给我开卡，我差点想投诉。最后一年后额度变成了9000，两年没涨...,0
1195,"SPDB offers the highest credit limit, while Postal Bank struggles to grow its offerings.",浦发的信用额度最大，而邮政银行的产品提升乏力。,2
1215,Check at the beginning of each month and again at the end of the month.,每个月月初查一次，月底再查一次。,2
1217,What is the credit limit for the first card? Has the second card's application process been streamlined? Is it done through a cardless channel or a card-based channel?,首卡的额度是多少？二卡的申请流程是否已简化？是通过无卡通道还是有卡通道办理的？,2
1219,"If the loan isn't approved, my wife is likely to leave me. We absolutely need to get this mortgage approved.",如果贷款批不下来，我老婆估计要离婚。我们一定要把这个房贷批下来。,2
1220,Beijing: 4.3?? China Merchants: 5.5 + 6?? Bank of China: 3?? Agricultural Bank: 1.2?? China Everbright: 2.7,北京：4.3??招商银行：5.5 + 6??中国银行：3??农业银行：1.2??光大银行：2.7,2
1221,WeChat has积分; do Alipay and JD also have积分?,微信有积分，支付宝和京东也有积分吗？,2
1237,"Welcome, welcome! My two mortgages with the Construction Bank don’t even add up to this amount.",欢迎欢迎！我在建行的两套房贷加起来都没有这么多。,2
1238,"Paid off in two years, the installment period is too long. ", 两年还清，分期时间太长了。,2
1242,"The Industrial and Commercial Bank of China increased its deposit interest rate to 23,000 on September 3, 2019.","工商银行于2019年9月3日将存款利率提高至23,000。",2
1258,"Actually, I signed up for it five years ago, and the limit was quite high.",其实我五年前就办了，而且额度也很高。,2
1267,It seems that only freezing has an impact.,似乎只有冻结才会有影响。,2
1293,"How was it ultimately handled? I was overdue for six months, and the interest amounted to over ten thousand.",最后是怎么处理的？我逾期了六个月，利息超过一万。,2
1322,Will they really come to my door? Will they contact anyone besides my emergency contacts?,他们会真实上门吗？会联系我的紧急联系人以外的人吗？,2
1329,Will there be any reduction in late fees and interest if we negotiate the installment plan?,协商分期的话，是否会减免违约金和利息呢？,2
1330,"My negotiation has been settled. First, I contacted the Shanghai Complaints Office, and they called me to negotiate. The principal plus interest amounts to 18,000, to be paid in 25 installments.",我的协商已经达成了。首先，我联系了上海信访，他们打电话给我进行协商。本金加利息共计一万八，分25期偿还。,2
1343,How did you go from 4k on June 9th to 19k today?,你是怎么做到6月9号从4k涨到今天的19k的？,2
1344,"The amount was 4,000 on June 9, and now it's 19,000? Is this account from China Merchants Bank?",6月9号余额是4000，现在变成19000了？这账户是招行的吗？,2
1349,"The little black house can always increase the limit; the bank's big data allows you to increase it, and it has nothing to do with others. The big black house can't increase it.",小黑屋总是能提额；银行的大数据会让你提额，这和其他人没有关系。大黑屋是提不了的。,0
1362,"I applied last month and got approved for 250,000 instantly. It's from Citic Bank.",我上个月申请的，秒批了25万，是中信银行的。,2
1378,Transfer everything to Yu'e Bao and then withdraw it to ICBC.,把所有的余额都转到余额宝，再提到工行就可以了。,2
1400,"Now I can still reach the complaint hotline. I've contacted them many times myself, but they refuse to negotiate installment payments and won’t cover the interest either. They insist that I need to repay 16,000 first before any further arrangements can be made.",现在我还是能拨打信访电话。我自己联系过很多次，但他们不愿意协商分期付款，也不承担利息。非得让我先还16000才能再做其他安排。,2
1408,"My interest rate has dropped by nearly 1000 yuan, which is useless. The principal should act quickly.",我的利率降了近1000元，完全没有用。校长应该快点行动。,2
1415,"You need to collect six bricks to enter the lottery, with a guaranteed minimum return of 60 RMB. Six times 55 equals 330 RMB, so you can do the math and see if it's worth it. This is from Industrial and Commercial Bank.",你得集齐六个砖才能抽一次奖，保底60元。6乘55等于330元，自己算算觉得划不划算。这是来自工商银行的。,2
1443,What qualifications? Are there bricks in the investment promotion? , 什么资质？招商里有砖头吗？,2
1444,"I moved 20 bricks when I applied for the card, mainly because the 1 million yuan driving license was useful. I'm quite satisfied with the credit limit.",我办卡的时候搬了20个砖，主要是因为100万的行驶证有用，我对额度还是挺满意的。,2
1454,I haven't mentioned the card until now. It's quite difficult to increase the credit limit.,我到现在还没有提过信用卡，提升额度真是太难了。,2
1480,"The Golden Sunflower account can be opened with zero balance, but if the average daily balance falls short of the required standard, the bank will charge an account management fee. The ordinary card (普卡) is still a better option.",金葵花账户可以零余额开户，但如果日均余额达标不够，银行会收取账户管理费。还是普卡更好。,2
